Street,Zip_Code,City
FOX POINT BLVD,HISTORICAL,PROVIDENCE
PACIFIC AVE,HISTORICAL,PROVIDENCE
FAITH ST,HISTORICAL,PROVIDENCE
DAVID ST,HISTORICAL,PROVIDENCE
FRANKFORT ST,HISTORICAL,PROVIDENCE
BALCH ST,HISTORICAL,PROVIDENCE
CLINTON AVE,HISTORICAL,PROVIDENCE
TYLER ST,HISTORICAL,PROVIDENCE
AQUIDNECK ST,HISTORICAL,PROVIDENCE
BARNABY ST,HISTORICAL,PROVIDENCE
BECKWITH ST,HISTORICAL,PROVIDENCE
ACKERMAN ST,HISTORICAL,PROVIDENCE
HAMBURG AVE,HISTORICAL,PROVIDENCE
PLEASANT VIEW AVE,HISTORICAL,PROVIDENCE
VAN ZANDT AVE,HISTORICAL,PROVIDENCE
LOWE AVE,HISTORICAL,PROVIDENCE
BURRINGTON ST,HISTORICAL,PROVIDENCE
HOWE ST,HISTORICAL,PROVIDENCE
JORDAN ST,HISTORICAL,PROVIDENCE
PONTIAC ST,HISTORICAL,PROVIDENCE
LYDIA ST,HISTORICAL,PROVIDENCE
NICHOLS ST,HISTORICAL,PROVIDENCE
WALLING ST,HISTORICAL,PROVIDENCE
PALMER ST,HISTORICAL,PROVIDENCE
POLK ST,HISTORICAL,PROVIDENCE
SHOVE ST,HISTORICAL,PROVIDENCE
HEDLEY ST,HISTORICAL,PROVIDENCE
LIVINGSTONE ST,HISTORICAL,PROVIDENCE
PAGE ST,HISTORICAL,PROVIDENCE
GARNET ST,HISTORICAL,PROVIDENCE
DAVIS ST,HISTORICAL,PROVIDENCE
MULBERRY ST,HISTORICAL,PROVIDENCE
SPRING ST,HISTORICAL,PROVIDENCE
CHERRY ST,HISTORICAL,PROVIDENCE
FIELD ST,HISTORICAL,PROVIDENCE
BOONE ST,HISTORICAL,PROVIDENCE
LIBERTY ST,HISTORICAL,PROVIDENCE
WINTER ST,HISTORICAL,PROVIDENCE
BATES ST,HISTORICAL,PROVIDENCE
BALBO AVE,HISTORICAL,PROVIDENCE
ALLEN'S AVE,HISTORICAL,PROVIDENCE
POTTER'S AVE,HISTORICAL,PROVIDENCE
THURBER'S AVE,HISTORICAL,PROVIDENCE