count,Headers,
2994,Lodging Houses,
2991,Variety Stores,
2783,Barbers,
2617,Restaurants & Lunch Rooms,
2496,Liquors-Retail,
2214,Physicians & Surgeons,
2125,Shoe Repairers,
2110,LAW OFFICES,
2036,"Law Books, Lawyers",
2006,Nurses,
1957,Music Teachers,
1927,Dentists,
1855,Clergyme,
1789,RESTAURANTS,
1780,Beauty Shops,
1627,BARBER SHOPS,
1551,BEAUTY SHOPS,
1526,CLERGYMEN,
1511,Lawyers,
1509,Clubs,
1381,Law Offices,
1270,Insurance Agents,
1266,Apartment Buildings,
1226,REAL ESTATE,
1212,Painters & Decorators,
1175,GASOLINE STATIONS,
1133,Gasoline & Oil Service Stations,
1101,Plumbers,
1063,Grocers-Retail,
1036,Liquor Dealers-Retail,
988,Bakers-Retail,
982,LAWYERS,
965,BEAUTY SHOPS,
937,RESTAURANTS,
896,Gasoline & Oil Service Stations,
873,DENTISTS,
855,Barber Shops,
845,DEALERS,
840,TURERS,
838,Restaurants,
829,Meats-Retail,
817,INSURANCE AGENTS,
806,Automobile Repairing,
781,Druggists-Retail,
736,PHYSICIANS AND SURGEONS,
736,Dry Goods-Retail,
734,Dressmakers,
733,Beauty Shops,
727,Real Estate,
726,REAL ESTATE,
723,VARIETY STORES,
687,INSURANCE COMPANIES,
680,CLOTHING-RETAIL,
679,BUILDINGS-OFFICE AND PUBLIC,
671,Printers-Book & Commercial,
652,Grocers-Retail ,
630,Grocers-Retall ,
628,APARTMENT BUILDINGS,
628,Grocers-Retail,
627,Shoe Dealers-Retail,
625,Laundries,
618,NURSES,
602,BUILDINGS-OFFICE AND PUBLIC,
584,Insurance Companies,
569,CLUBS,
567,DENTISTS,
553,Grocers-Retail ,
550,Grocers-Retail ,
539,JEWELERS-MANUFACTURING,
536,Grocers-Retail ,
528,Trucking & Teaming,
523,Tailors-Merchant,
520,,
513,jewelERS-MFG,
510,LODGING HOUSES,
501,MUSIC TEACHERS,
500,Gasoline Stations,
498,PHYSICIANS AND SURGEONS-M.D.,
496,Fruit Dealers-Retail,
496,,
491,JEWELRY MANUFACTURERS,
490,Optometrists,
489,Law Books Lawyers,
488,Grocers-Retail ,
488,Japanners Jewelers-Mfg,
485,Law Books Law Offices,
479,Automobile Parking,
476,,
472,PHYSICIANS and SURGEONS-M D,
470,Buildings-Office & Public,
468,"Schools, Colleges & Academies",
465,OPTOMETRISTS,
460,PHYSICIANS and SURGEONS ,
460,Physicians & Surgeons .,
457,TAVERNS,
454,Funeral Directors ,
454,FUNERAL DIRECTORS,
448,Physicians and Surgeons-MD,
446,DRUGGISTS-RETAIL,
443,Real Estate,
434,BUILDINGS-OFFICE and PUBLIC,
433,MD,
430,Electrical Contractors,
427,CHURCHES,
425,Investment Securities ,
423,SHOE REPAIRERS,
423,PLATERS,
415,CLEANERS and DYERS,
415,Real Estate ,
414,Automobile Dealers-Used Cars,
407,Sheet Metal Workers,
406,Automobile Garages,
405,Physicians & Surgeons ,
403,Furniture Dealers-Retail,
399,FINANCE COMPANIES,
398,,
398,Lodging Houses,
396,Nurserymen - Nurses,
393,Novelties-Mirs,
389,Physicians & Surgeons ,
388,Nurserymen - Nurses,
387,Physicians & Surgeons  ,
386,Physicians and Surgeons,
386,BARBER SHOPS,
385,SERVICE,
383,INSURANCE,
382,Milliners,
378,INLAND MARINE,
377,Barbers,
375,Accountants & Auditors,
373,Architects,
372,APARTMENTS AND TOWN HOUSES,
370,CLERGYMEN,
370,Cleaners and Dyers,
368,Tool Mfrs,
364,Tailors-Merchant ,
363,Upholsterers ,
360,K1 Lodging Houses,
360,GASOLINE STATIONS,
357,Nurses,
355,AUTOMOBILE BODY REPAIRERS,
355,LIQUOR DEALERS-RETAIL,
354,PHYSICIANS and SURGEONS-MD. ,
353,JEWELERS- MANUFACTURING,
351,Loans-Mortgage,
351,CONTRACTORS- CARPENTER,
350,GROCERIES and MEATS-RETAIL,
349,Jewelry Mfrs,
349,JEWELERS-MFG,
347,AUTOMOBILE PARKING,
347,STONES,
346,JEWELERS-MANUFACTURING,
345,JEWELRY MFRS,
343,Names,
340,ARTISTS,
340,CLEANERS AND DYERS,
340,Photographers,
340,,
337,,
335,,
334,LAW OFFICES,
326,PHYSICIANS AND SURGEONS-M. D.,
325,TAVERNS,
323,Libraries,
321,Buildings-Otfice and Public,
321,Personal Loans,
320,Jewelers-Mfg,
312,Tire Dealers & Repairers,
312,ARCHITECTS,
310,GROCERIES AND MEATS- RETAIL,
308,AUTOMOBILE REPAIRING,
304,Insurance Rating Bureaus,
303,Oils & Lubricants-Dealers,
303,Expressing & Moving ,
302,Dresses Dressmakers,
301,Grinding Wheel Supplies,
298,PHYSICIANS & SURGEONS M. D.,
297,HALLS,
296,Japanners  Jewelers-Mfg,
295,,
294,JEWELERS -MANUFACTURING,
294,,
293,Ice Cream Mfrs,
292,Weybosset,
287,AUTOMOBILE DEALERS,
286,CONTRACTORS-BUILDING-GENERAL,
286,Restaurants & Lunch Rooms,
285,AUTOMOBILE DEALERS-USED CARS,
285,Furniture Dealers-Retall,
284,PHYSICIANS AND SURGEONS-MD,
278,Ice Dealers,
277,APARTMENTS AND TOWN HOUSE,
277,BAKERS-RETAIL,
276,FURNISHED ROOMS,
273,Nurses-Graduate,
273,JEWELERS,
271,Office Supplies & Equipment,
270,CONTRACTORS-PLUMBING,
269,"Cleaners-Garments, Curtains & Draperies",
266,SUPPLIES-DEALERS,
265,Grocers-Retail ,
264,FLORISTS-RETAIL,
264,TRUCKING,
264,Fish Dealers-Retail,
263,REAL ESTATE ,
262,MEATS-RETAIL,
262,SALARY,
262,LAUNDRIES,
261,FRUIT DEALERS-RETAIL,
259,PHOTOGRAPHERS,
259,GIFT SHOPS,
258,Jewelers,
258,INSURANCE,
257,Radio Sets & Supplies-Retail,
256,TOOL MANUFACTURERS,
253,Labor Organizations,
252,Liquors-Retall,
252,MANUFACTURERS,
252,Bakers-Retall,
251,Nurses-Graduate,
251,DRY GOODS-RETAIL,
247,Chiropodists,
247,Buildmgs-Offlce & Public,
247,BUILDING WRECKERS,
247,MONUMENTS,
246,CLUBS,
246,Buildings-Offlce & Public,
244,Goal Dealers-Retail,
243,Machinery Mfrs,
243,Gwollne & Oil Service Stations,
243,Dental Laboratories,
242,DRESSMAKERS,
242,Beauty Shops,
240,TAILORS,
240,Painters and Decorators,
239,Finance Companies,
238,LAW OFFICES,
237,AUTOMOBILE REPAIRING,
237,NUMBMATISTS,
235,Societies,
234,ADVERTISING AGENCIES,
234,Real Estate ,
233,Clubs-Social,
233,CANS AND PAILS,
232,Hairdressers Halls,
232,ING,
232,DECORATING,
232,Buildings-Office & Public,
231,Buildinqs-Office and Public,
231,Bulldings-Office & Public,
230,ARTISTS-COMMERCIAL,
230,Tailors-Merchant,
229,Bulldings-Ofiice & Public,
227,Buildings-Ofiice & Public,
226,JEWELERS-MFG,
223,CONVENTS,
223,Buildings-Otfice & Public,
222,Real Estate,
222,Clergymen,
222,Hardware Dealers-Retail,
221,CONSULTANTS,
220,Clergymen,
220,Contractors-Building-General,
220,Linoleums & Floor Coverings,
220,REAL ESTATE,
218,Cleaners,
218,Land Companies,
216,Osteopathic Physicians,
216,SCHOOLS-PAROCHIAL,
216,,
215,ORGANIZATIONS- MISCELLANEOUS ,
215,SHOE DEALERS-RETAIL,
214,DESIGNERS,
214,Beauty ShOps,
211,Glergyme,
211,JEWELRY MANUFACTURERS,
210,Artists,
210,GROCERIES and MEATS,
209,Physicians & Surgeons ,
209,Chestnut,
208,BEER-RETAIL,
208,BEER-RETAIL,
208,Real Estate,
207,FURNITURE DEALERS-RETAIL,
207,NURSES-GRADUATE,
207,PARKS AND PLAYGROUNDS,
206,LANDSCAPE GARDENERS,
202,AUTOMOBILE DEALERS- USED CARS,
202,Tailors-Merchant ,
202,Japanners Jewelers,
201,RETAIL,
200,Grocers-Wholesale,
200,Machinists,
198,MANUFACTURERS,
197,CATERERS,
197,UPHOLSTERERS,
197,Milk Dealers,
195,Plorists-Retail,
195,Oil Burners & Oil Burning Equipment,
194,ELECTRICAL EQUIPMENT AND SUPPLIES,
194,Antiques,
193,Christian Science Practitioners,
192,Nurses,
192,Automobile Repairing ,
191,FUEL and RANGE OIL,
191,BAKED GOODS-RETAIL,
190,,
189,Jewelers-Mfg,
187,Roofers,
187,Jeweler's Findings,
187,JEWELRY MFRS,
186,Building Materials & Supplies,
186,Delicatesse,
186,Sign Painters & Mfrs,
186,CONTRACTORS-PAINTING AND DECORATING,
186,CONTRACTORS-MASON,
185,Tailors & Merchant,
185,Japanners jewelers--Mfg,
185,DENTISTS,
185,JEWELERS-RETAIL,
185,,
183,Opticians,
183,PHYSICIANS AND SURGEONS-MD. ,
183,LINENS-RETAIL,
183,ORGANIZATIONS- MISCELLANEOUS,
182,CONTRACTORS-BUILDING- GENERAL ,
182,BROKERS,
182,Real Estate,
182,Japanners jewelers,
182,RESTAURANTS,
181,ENAMELERS,
181,GRINDING WHEELS MANUFACTURERS,
180,Law Books Law Offices,
180,Platers ,
180,Insurance Companies,
179,Coal Dealers-Retail,
178,,
178,CLOTHING-RETAIL,
178,RETAURANTS,
178,ORGANIZATIONS-LABOR,
177,Lumber-Retail,
177,,
176,CONTRACTORS- ELECTRICAL,
176,,
176,FUEL AND RANGE OIL,
175,LABORATORIES,
175,CONTRACTORS-PAINTING and DECORATING,
175,,
174,APARTMENTS AND TOWN HOUSES,
174,INC,
174,STORERS,
173,APARTMENT BUILDINGS,
173,,
173,GROCERIES AND MEATS-RETAIL,
172,Fur Dealers & Furriers,
171,Hotels,
171,GASOLINE STATIONS,
171,JEWELRY MANUFACTURERS,
170,,
170,Ironing Machines,
168,Cleaners and Dryers,
168,LIQUOR AND WINES-RETAIL,
167,Insurance Brokers,
167,,
167,,
166,Druggists-Retail,
166,Tailors-Merchant,
165,Meats-Retail ,
165,ANTIQUES-DEALERS,
164,Tailors-Merchant ,
163,,
163,DECORATING,
163,DEPARTMENT STORES,
163,EMPLOYMENT AGENCIES,
162,REPAIRING,
162,Poultry Dealers-Retail,
162,Japanners jewelers-Mfg,
162,Die Makers,
161,DENTAL LABORATORIES,
161,CONTRACTORS- PAINTING and DECORATING,
161,Employment Agencies,
161,Druggists-Retall,
160,VARIETY ROMS ,
160,JEWELRY ENGRAVERS,
160,Nurses-Practical,
159,Malt & Hops,
158,ARTISTS,
158,News Dealers ,
158,SCHOOLS-PUBLIC,
158,CONSULTANTS,
158,LIQUOR and WlNES-RETAIL,
157,MANUFACTURERS AGENTS,
157,PHYSICIANS AND SURGEONS-MD.,
157,INSURANCE COMPANIES,
156,,
156,jewelry MFRS,
154,Druggists-Retail,
151,Massage,
151,,
150,CITY DIRECTORY PUBLISHERS,
150,Meats--Retail,
150,CLERGY,
149,CONTRACTORS- PAINTING AND DECORATING,
149,JUNK DEALERS,
148,THEATRES,
148,,
148,HARDWARE DEALERS-RETAIL,
147,Meats-Retail ,
146,LAW OFFICES,
145,PHYSICIANS AND SURGEONS-MD,
144,Heating Apparatus & Appliances,
144,Druggists-Retail,
143,CLOTHING-RETAIL,
143,"Paint, Oil & Varnish Dealers-Retail",
143,Cabinet Makers,
142,,
142,Plumbing Supplies-Dealers,
142,Chiropractic Physicians,
142,Funeral Directors ,
141,Gontractors-Building-General,
140,RADIO AND TELEVISlON,
140,SCHOOLS AND COLLEGES,
140,PUBLISHERS,
140,Automobile Accessories & Parts -Retail,
139,Contracters-Building- General,
139,JEWELRY BURNISHERS,
139,Taxicab Service,
138,Shoe Shiners,
138,SHEET METAL WORKERS,
137,LAUNDRIES-SELF SERVE,
136,AUTOMOBILE REPAIRING,
136,ACCOUNTANTS-PUBLIC,
136,,
136,Dresses Dressmakers,
135,Chemical Mfrs,
134,PRINTERS-BOOK AND COMMERCIAL,
134,CHURCHES,
133,Machinery Dealers,
133,ACCOUNTANTS-PUBLIC,
132,Contractors-Building-General,
132,,
131,LIQUOR and WINES-RETAIL,
131,LIBRARIES,
131,CONTRACTORS-PAINTING AND DECORATING,
131,PODIATRISTS,
131,Meats--Retail,
130,,
130,Junk Dealers,
130,"ORGANIZATIONS-BUSINESS, CIVIC AND PROFESSIONAL",
130,Automobile Accessories & Parts-Retall,
129,Charitable Institutions,
129,CLOTHING RENTAL,
129,LODGING HOUSE,
129,Dresses Dressmakers,
129,,
128,PRINTERS-BOOK AND COMMERCIAL ,
128,Contractors-Maso,
128,Battery Dealers & Service,
127,Produce Dealers-Wholesale,
127,Dye Stuffs,
127,Musical Instrument Dealers,
127,GROCERIES AND MEATS-RETAIL ,
127,DAIRY PRODUCTS-RETAIL,
127,CONTRACTORS- BUILDlNG-GENERAL ,
127,Bakers-Wholesale,
126,Bottlers-Carbonated Beverages,
126,,
126,,
126,BUILDINGS-OFFICE AND PUBLIC ,
126,Laundries-Chinese,
125,CONTRACTORS- PAINTING AND,
125,Automobile Dealers,
125,CIVIC AND PROFESSIONAL,
124,APARTMENT BUILDINGS,
124,Fruit Dealers-Wholesale & Brokers,
124,PHYSICIANS AND SURGEONS-M.D.,
123,Contractors-Building-General,
123,Minister,
123,CHIROPRACTORS,
123,CABINET MAKERS,
123,Novelties-Mfrs,
122,Jewelers' Supplies,
122,REAL ESTATE OWNERS AND DEALERS,
122,ACCOUNTANTS-PUBLIC,
121,ANTIQUES-DEALERS AND RESTORERS,
121,VARIETY STORES,
121,GASOLINE STATIONS,
121,Advertising Agencies,
121,Monumental Works,
120,Brokers-Money,
120,Liquors-Wholesale,
120,NEWS DEALERS,
120,Mill Engineers-Mill Supplies,
120,JEWELERS-MFG,
119,PHYSICIANS AND SURGEONS MD. ,
119,ACCOUNTANTS-PUBLIC,
119,REAL ESTATE,
118,AUTOMOBILE ACCESSORIES AND PARTS-RETAIL,
118,,
118,Automobile Insurance,
118,Mattress Mfrs ,
118,CLEANERS AND DRYERS,
117,Tool Manufacturers,
117,Office Supplies and Equipment,
117,MACHINISTS,
116,Chiropractors,
116,,
116,CLOTHING - RETAIL,
116,Mill Supplies,
115,PUBLIC,
115,MEATS-WHOLESALE,
115,,
115,CLINICS,
115,INVESTMENT COMPANIES,
115,PARTS MANUFACTURERS,
115,AUTHORS AND COMPOSERS,
114,,
114,UPSET FORGINGS,
114,APARTMENT BUILDINGS,
114,Automobile Dealers-Passenger Cars,
114,GENERAL MERCHANDISE- RETAIL,
114,SHIRT MANUFACTURERS,
114,Oils and Lubricants-Dealers,
113,Electrical Equipment and Supplies-Dealers,
113,GASOLINE STATIONS,
113,Dancing Academies & Teachers,
112,PAN lES,
112,Trucking ,
112,INFANTS- RETAIL,
112,Textile Mfrs,
111,IMPORTERS,
111,Meats-Retail,
111,PLUMBING OIL BURNER ,
111,LAWYERS,
111,SUPPLIES AND EQUIPMENT,
111,Contractors-Building & General,
111,Toys & Games-Retail,
110,Contractors-Building-General,
110,AND EARTHENWARE WHOLESALE,
110,Contractors-Building-General,
110,Bus & Coach Lines-Motor,
110,DIE MAKERS,
110,Jewelers-Retall,
110,Cigars & Tobacco-Retail,
109,SCHOOLS- PUBLIC,
109,CREDIT UNIONS,
109,METAL DEALERS,
109,BOOKS-RETAIL,
109,GREETING CARDS,
109,"Publishers-Book, Newspaper & Periodical",
108,SLITTING,
108,Insurance Agents,
108,LODGING HOUSES,
108,Church Goods,
108,Paper Dealers-Print & Wrapping,
108,,
108,Radio Sets and Supplies-Retall,
108,SCHOOLS-PUBLIC,
107,,
107,Organizations-Business,
107,,
107,Carpenters-Job ,
107,RADIO and TELEVISION SETS- SALES and SERVICE,
107,CLERGYMEN,
107,Street Railway Companies,
106,Junk Dealers,
106,Automobile Repairing,
106,HEARING AIDS,
105,DRUGGISTS -RETAIL,
105,DRUGGISTS- RETAIL,
105,Upholsterers,
105,Dresses Dressmakers,
104,ENGRAVERS-JEWELRY,
103,Sand & Gravel Dealers,
103,,
103,,
103,,
103,,
103,OPTICIANS-RETAIL,
103,GROCERIES AND MEATS- RETAIL ,
103,,
103,,
102,Bakers-Retail,
102,Insurance Companies,
102,TRUCKING,
102,TAVERNS,
102,DRUGGISTS- RETAIL,
102,CLEANERS AND DYERS,
101,Hairdressers Halls,
101,Plorists-Retall,
101,Convents,
101,jewelERS,
101,JEWELERS BINDINGS,
101,ART GALLERIES,
101,Bowling Alleys ,
100,,
100,CONTRACTORS-PAINTING AND DECORATING,
100,,
100,SHOE REPAIRERS,
100,Curtains & Draperies,
100,SHOE REPAIRERS,
100,BEAUTY SHOPS,
99,LAW OFFICB,
99,Contractors-Building-General,
99,BAKED GOODS-RETAIL,
99,Department Stores,
99,Bakers-Retail,
99,CHURCH GOODS,
99,Hardware Dealers-Retall,
98,Furniture Dealers-Second Hand,
98,Booksellers,
98,Homes & Asylums,
98,Printers-Book and Commercial,
98,Billiard & Pocket Billiard Rooms,
98,SCREW MACHINE PRODUCTS,
97,APARTMENTS AND TOWN HOUSE,
97,Metal Dealers,
97,CONTRACTORS -CARPENTER,
96,Halrdressers Halls,
96,Schools and Colleges,
96,DEALERS,
96,CONTRACTORS -PLUMBING,
96,CONTRACTORS- BUILDING- GENERAL,
96,Contractors-Building & General,
96,BUS LINES,
95,CONTRACTORS- PLUMBING,
95,Trucking & Teaming ,
95,LAWYERS ,
95,Locksmiths,
94,GROCERIES AND MEATS-RETAIL- ,
94,CLUBS,
94,Diamonds & Precious Stones,
93,Engravers-Jewelry,
93,CONTRACTORS-TILE,
93,Meats-Wholesale,
93,CONTRACTORS-ELECTRICAL,
93,ORGANIZATIONS-LABOR,
92,POULTRY DEALERS-RETAIL,
92,Pawnbrokers,
92,BANKS AND TRUST COMPANIES,
92,MACHINERY DEALERS,
92,Window Cleaners,
92,Brokers-Stocks & Bonds,
92,Screw Machine Products,
91,Artists-Commercial,
91,BURIAL,
91,GROCERIES AND MEATS-RETAIL ,
91,BAKED GOODS --RETAIL,
90,TIRE DEALERS AND REPAIRING,
90,CLOTHING- RETAIL,
90,INVESTMENT BANKERS,
89,Dry Goods-Retall,
89,TOOL MFRS AND DISTRIBUTORS,
89,PRINTERS-BOOK AND COMMERCIAL,
89,CONTRACTORS-BUILDING- GENERAL,
89,REBTAURANTS,
89,MANUFACTURERS OF LEAD,
89,Carpenters,
89,CASTING MFRS,
89,Contractors-Building- General,
89,Investment Bankers,
88,Associations & Clubs,
88,"Cleaners-Garments, Curtainls & Draperies",
88,,
88,WESTMINSTER MALL ,
88,NEWSPAPERS,
88,LAUNDRIES-SELF SERVE,
88,CONTRACTORS- CARPENTER,
88,jewelry BURNISHERS,
88,Building & Loan Associations,
88,CONTRACTORs-CARPENTER,
87,Poultry Dealers-Retall,
87,ELECTROLYTIC TREATMENT,
87,Clothing Dealers-Mews & Boys-Retail,
87,CONTRACTORS-BUILDING-GENERAL,
87,Jewelers-Wholesale & Import,
86,Goal Dealers-Retall,
86,jewelERS' SUPPLIES,
86,FURNITURE-RETAIL,
86,,
86,Corsetieres,
86,Barrel Dealers,
86,Milliners,
85,ELECTRICAL EQUIPMENT AND SUPPLIES-DEALERS,
85,CHURCHES,
85,VENDING MACHINES,
85,AND SUPPLIES,
85,Confectionery & Ice Cream- Retail ,
85,Platers,
85,Landscape Gardeners,
84,TAILORS- MERCHANT,
84,MACHINERY MANUFACTURERS,
84,AUTOMOBILE REPAIRING,
84,Baths,
84,ENGINEERS-CONSULTING,
84,HARDWARE-RETAIL,
84,Hospitals & Dispensaries,
84,,
84,,
83,"Gleaners-Garments, Curtains & Draperies",
83,AUTOMOBILE ACCESSORIES and PARTS-RETAIL,
83,Laundries-Chinese,
82,Electrical Equipment & Supplies -Dealers,
82,DRUGGISTS -RETAIL,
82,Printers-Book & Commercial,
82,,
81,,
81,Advertising Counsel & Service,
81,AUTOMOBILE ACCESSORIES AND PARTS-RETAIL,
81,Goncmte Construction- Contractors,
80,,
80,GROCERIES- AND MEATS- RETAIL ,
80,Confectionery-Retail,
80,FUEL OIL DEALERS,
80,Organizations-Labor,
80,TRAVEL AGENCIES,
80,CHURCHES AND SYNAGOGUES,
80,Cemeteries,
79,ACCOUNTANTS- PUBLIC,
79,Remnants-Dealers,
79,Watch & Jewelry Repairers,
79,DECORATING- ,
79,INSURANCE COMPANIES,
79,TAXICAB SERVICE,
79,Office Supplies & Equipment,
79,Shirt Mfrs,
78,CONTRACTORS- CARPENTER,
78,Stenographers-Public,
78,Expressing and Moving,
78,,
78,CONTRACTORs-PAINTING AND DECORATING,
78,INSURANCE AGENTS,
78,Radio Sets-Sales and Service,
78,NURSING HOMES,
77,GYMNASIUMS,
77,Storage,
77,RESTAURANTS,
77,DELICATESSEN,
77,Dry Goods-Retail,
77,LUMBER-RETAIL,
77,TAVERN,
77,Clubs-Civic,
77,FOUNDRIES,
76,Halls,
76,CONTRACTORS CARPENTER,
76,,
76,AUTOMOBILE PAINTERS,
76,BANDS AND ORCHESTRAS,
75,MILLINERS,
74,BUILDING MAINTENANCE,
74,GROCERIES AND MEATS-RETAIL ,
74,ORGANIZATIONS-WELFARE AND RELIEF,
74,,
74,,
74,,
74,FUR DEALERS and FURRIERS,
74,ORGANIZATIONS -WELFARE AND RELIEF,
73,WINDOW CLEANERS,
73,CHURCHE AND SYNAGOGUE,
73,,
73,GROCERIES AND MEATS RETAIL ,
73,Pumemal Directors,
73,Enamelers,
73,FRUIT DEALERS-RETAIL,
72,LIQUOR AND WINES- RETAIL,
72,DENTIST,
72,RADIO SALES AND SERVICE,
72,LIQUOR AND WINES,
72,Hosiery-Retail,
72,Fruit Dealers-Retall,
72,"Cleaners-Garments, Curtains & Draperies",
72,PHYSICIANS AND SURGEONS-M.D. ,
71,TRUCK TIRES,
71,PHYSICIAN S AND SURGEONS-MD. ,
71,CLUBS- ,
71,SERVICE,
71,LETTER SHOPS,
71,,
71,Glass Dealers-Window & Plate,
71,MUSIC TEACHERS,
71,APARTMENTS AND TOWN HOUS.,
70,ORGANIZATIONS - BUSINESS. CIVIC AND PROFESSIONAL,
70,,
70,jewelERS,
70,TRAVEL BUREAUS,
70,CONTRACTORS -PLUMBING,
70,Schools & Academies,
70,,
70,REAL ESTATE OWNERS AND DEALERS,
70,PLASTIC PRODUCTS-MFRS,
70,,
70,CHURCHES AND SYNAGOGUES,
70,PUBLIC RELATIONS COUNSEL,
70,Schools & Academies,
70,Meats-Retail,
69,Insurance Companies-Life,
69,,
69,PAINTERS and DECORATORS,
69,Westminster,
69,AUTOMOBILE PARKING,
69,jewelry Solderers INSIGNIA SPECIALISTS,
69,PHYSICIANS AND SURGEONS-MD. ,
69,A Funeral Directors ,
69,,
68,SOCIAL SERVICE AGENCIES,
68,Engravers-Photo,
68,PSYCHOLOGISTS,
68,DENTISTS,
68,JEWELERS-MFG,
68,ORGANIZATIONS- PATRIOTIC AND VETERANS,
68,JEWELERS MFG,
68,LODGING HOUSES,
68,Accountants-Public,
68,CONTRACTORS-BUILDING GENERAL,
68,CONTRACTORS- PLUMBING,
67,Vending Machines,
67,PLASTIC PRODUCTS-MANUFACTURERS,
